dataset,implementation,model,deg,knots,df,RMSE,MAE,CRPS,n_train_sites,n_test_sites,n_test_pairs,mcmc_time_s,rhat_max,n_chains,tune,draws
Panama,gdmbayes_bayes,model_1,3,1,4,0.0957321099575281,0.0797726535385621,0.0529528109890034,36,3,111,57.29684185981751,1.0150841501026315,4,1000,1000
Panama,gdmbayes_bayes,model_2,3,1,4,0.0949278671425666,0.0768952157908477,0.0528712841456808,36,3,111,28.192900896072388,1.0094943259767504,4,1000,1000
Panama,gdmbayes_bayes,model_4,3,1,4,0.07868412012846299,0.06206665771818413,0.04328720265844741,36,3,111,687.5317590236664,1.74538481936401,4,3000,1000
Panama,gdmbayes_bayes,model_7,3,1,4,0.0763165721179332,0.06109198301348903,0.0424620541541101,36,3,111,278.7440993785858,1.7420358083150846,4,3000,1000
