model,rhat_param_max,rhat_pred_logy_max,rhat_pred_logy_mean,chain_rmse_min,chain_rmse_max,chain_rmse_spread,pooled_rmse,pooled_mae,pooled_crps
model_4,1.74538481936401,1.0021337960261611,1.0004231136568598,0.07741478530683472,0.07898809253143048,0.0015733072245957547,0.07821267227356565,0.06152642426291228,0.04302662931119748
model_7,1.7420358083150846,1.0015519624738816,1.0002930448209637,0.07708911820901085,0.07800312958503784,0.0009140113760269936,0.07737698944261154,0.061770978071092296,0.04303100975010916
