"dataset","implementation","model","deg","knots","df","RMSE","MAE","CRPS","n_train_sites","n_test_sites","n_test_pairs","mcmc_time_s","rhat_max","n_chains","n_burn","n_post"
"Panama","White_NIMBLE","model_1",3,1,4,0.0955809090143803,0.079745567248156,0.052877818651543,36,3,111,55.608,1.12639375812181,2,10000,10000
"Panama","White_NIMBLE","model_2",3,1,4,0.0950839481793877,0.0770847684361984,0.0529755318413403,36,3,111,93.643,1.01769486267529,2,10000,10000
"Panama","White_NIMBLE","model_4",3,1,4,0.0753617492083109,0.0605546874627683,0.041079176852166,36,3,111,60.636,1.09188873829918,2,10000,10000
"Panama","White_NIMBLE","model_7",3,1,4,0.0694256665966755,0.0556466866458516,0.0388634248829445,36,3,111,103.627,1.09586437910614,2,10000,10000
